company_category_list,cluster
Software,21
Biotechnology,27
Health Care,18
Clean Technology,9
Curated Web,14
Health and Wellness,18
Mobile,33
Hardware + Software,21
Enterprise Software,24
E-Commerce,0
Manufacturing,13
Advertising,19
Games,40
Education,39
Semiconductors,13
Real Estate,42
Consulting,5
Security,26
Hospitality,20
Analytics,46
Finance,38
Web Hosting,14
Medical,18
Social Media,41
Fashion,25
Technology,16
Biotechnology|Health Diagnostics,1
Entertainment|Games,40
Sports,35
Public Relations,41
EdTech|Education,39
News,23
Medical Devices,1
Messaging,2
Transportation,48
Biotechnology|Health Care,18
Pharmaceuticals,27
Music,30
Internet,2
Finance|FinTech,38
Automotive,13
Financial Services,5
Nonprofits,0
Travel,20
Information Technology,28
Search,28
Nanotechnology,27
Consumer Electronics,13
Apps,29
Services,4
Photography,44
Media|News,23
Finance|Venture Capital,38
Legal,3
Public Transportation,48
Design,44
Networking,2
Entertainment,30
Consumer Goods,45
Telecommunications,15
Energy,37
Biotechnology|Medical,1
Networking|Web Hosting,2
Local Businesses,10
Food Processing,34
Electronics,13
Marketplaces,0
Health Care|Medical Devices,18
Retail,45
Food Processing|Hospitality,34
Health Care|Medical|Medical Devices,18
E-Commerce|Fashion,25
Pets,20
Mobile|Wireless,33
SaaS|Software,22
Banking,38
Hospitals,18
Media,23
Health and Wellness|Health Care|Medical,18
Aerospace,27
Oil & Gas,32
Health Care Information Technology,31
Business Services,5
Network Security,26
Restaurants,20
Apps|Mobile,29
Education|Software,39
Finance|Software,38
Health Care|Hospitals,18
Mobile|Software,33
Health Care|Medical,18
Enterprise Software|Software,21
Advertising|Mobile,19
Health and Wellness|Health Care,18
Photography|Video,8
Security|Software,26
Health Care|Medical|Therapeutics,18
Health Care|Hospitals|Medical,18
Analytics|Big Data,46
Computers|Software|Technology,16
Consumers,45
Video,8
Startups,0
Biotechnology|Pharmaceuticals,27
Apps|Software,29
Bio-Pharm,27
Information Technology|Services,28
Delivery|Hospitality,34
Human Resources|Software,3
Biotechnology|Health Care|Medical,18
Publishing,23
Computers,16
Biotechnology|Health Care|Therapeutics,1
Non Profit,12
Recruiting,39
E-Commerce|Fashion|Retail,6
Logistics,48
Construction,48
Digital Media,23
Biotechnology|Medical|Pharmaceuticals,1
Consulting|Software,24
Human Resources,3
SaaS,22
Analytics|Software,46
Media|News|Photography|Video,23
Games|Mobile,40
Wireless,15
Wine And Spirits,34
Clean Technology|Solar,37
Health and Wellness|Health Diagnostics,18
Finance|Financial Services,38
Biotechnology|Health and Wellness,18
Information Services,4
Curated Web|Education,14
Health and Wellness|Health Care|Medical Devices,18
Hardware + Software|Wearables,21
Therapeutics,27
Collaboration|Software,24
Health Care|Medical|Pharmaceuticals,18
Information Technology|Services|Software,28
Specialty Foods,34
Curated Web|Finance,14
E-Commerce|Retail,6
Internet|Software,36
Social Network Media,41
Games|Video,40
Fitness|Health and Wellness|Health Care,18
E-Commerce|Social Commerce,41
Fitness|Health and Wellness,17
Renewable Energies,37
Networking|Social Media,49
Biotechnology|Health Care|Pharmaceuticals,1
Consumer Internet,19
Insurance,12
Enterprise Software|SaaS,22
Entertainment|Games|Software,40
Communities,10
Investment Management,5
Social Media|Social Network Media,41
Hardware,21
Marketing Automation,24
Internet Marketing,19
Broadcasting,23
Market Research,5
Cloud Computing|Enterprise Software,11
Oil,32
E-Commerce|Marketplaces,0
3D Printing,44
Organic Food,34
Environmental Innovation,9
Curated Web|Social Media,49
Game,40
Health Care|Healthcare Services|Medical,18
Health and Wellness|Health Care|Health Care Information Technology,18
Health Care|Health Diagnostics,18
Payments,12
Financial Services|FinTech,5
Health Diagnostics|Software,1
Mobile|Social Media,49
Biotechnology|Medical|Therapeutics,1
Bitcoin,0
Agriculture,9
Advertising|Internet Marketing,19
Analytics|Big Data|Software,46
Enterprise Software|Storage,11
Hardware + Software|Internet of Things,47
Events,35
Service Providers,4
Life Sciences,39
Manufacturing|Medical|Medical Devices,1
Biotechnology|Medical Devices,1
Sporting Goods,45
Apps|Mobile|Software,29
Clean Energy|Clean Technology,37
Consulting|Local Businesses,5
Storage,11
Real Estate|Rental Housing,42
Advertising|Media,23
Craft Beer,34
Advertising|Analytics,46
Hospitality|Restaurants,20
Communications Infrastructure,48
Health Diagnostics|Medical,1
Internet of Things,47
E-Commerce|Fashion|Lifestyle,25
Travel & Tourism,20
Services|Technology,4
Curated Web|Internet,14
Diagnostics|Health Care|Medical,18
Health and Wellness|Health Care|Healthcare Services,18
Media|Music|News,23
Fitness,17
Oil and Gas,32
Messaging|Mobile,33
Health and Wellness|Medical,18
Software|Technology,21
Cosmetics,27
Hardware + Software|Health Diagnostics,21
Mobile Commerce,15
Enterprises|Enterprise Software,24
Finance Technology|FinTech,38
Advertising|Video,8
Commercial Real Estate|Real Estate,42
Semiconductors|Technology,13
News|Social Media,41
Media|News|Video,23
Outsourcing,0
Event Management,35
Health and Wellness|Health Care|Pharmaceuticals,18
FinTech,27
Health Care|Medical|Services,18
Health Care|Medical|Technology,18
iPhone|Mobile,29
Advertising|Software,19
Farming,34
Enterprises|Software,24
Media|News|Publishing,23
Fantasy Sports|Sports,35
Cannabis,34
Chemicals,32
Curated Web|News,14
Mobile|Telecommunications,15
Games|Music,40
Software|Storage,21
Biotechnology|Health and Wellness|Health Care,18
Internet|Mobile,33
Enterprise Software|Finance,24
Politics,41
Automotive|Clean Technology,9
Games|Social Games,40
Medical|Medical Devices,1
Web Development,36
Finance|Software|Venture Capital,5
Sales and Marketing,7
Games|Television,40
Networking|Software,21
Software|Video,8
Finance|Payments,38
Mobile|Mobile Payments,12
Utilities,32
Internet|Social Media,41
Data Security|Security,26
Information Technology|Services|Technology,28
Biotechnology|Health and Wellness|Medical|Pharmaceuticals,1
Hardware + Software|Video,21
Finance Technology,38
Curated Web|Networking,14
Beauty,25
Services|Software,24
E-Commerce|Software,21
Big Data,47
Development Platforms,9
Hardware + Software|Health and Wellness,31
